"GDP, current prices (Billions of U.S. dollars)",1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,3.399,3.360,3.322,3.321,2.887,2.664,3.342,3.622,3.340,3.475,2.664,2.115,3.236,3.124,3.016,2.912,2.720,3.532,2.462,4.367,4.553,5.146,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89
Albania,2.319,2.29,2.339,2.587,2.566,2.53,2.779,2.221,1.333,0.843,1.461,2.361,2.882,3.2,2.259,2.56,3.209,3.483,3.928,4.348,5.611,7.185,8.052,8.905,10.675,12.901,12.093,11.938,12.896,12.323,12.784,13.246
Algeria,47.529,51.513,61.132,61.535,63.3,51.664,52.558,61.892,46.67,49.217,50.963,42.426,42.066,46.941,48.178,48.188,48.845,54.749,54.745,56.761,67.864,85.327,103.198,117.027,134.977,171.001,137.054,161.207,200.251,209.016,209.755,213.81
Angola,5.788,6.135,7.559,7.077,8.089,8.775,10.208,11.236,10.891,8.398,6.095,4.438,5.539,6.535,7.675,6.506,6.153,9.13,8.936,12.497,14.189,19.641,28.234,41.789,60.449,84.178,75.492,82.471,104.116,115.342,124.912,126.777
Antigua and Barbuda,0.182,0.208,0.241,0.29,0.337,0.399,0.439,0.459,0.482,0.499,0.535,0.589,0.577,0.634,0.681,0.728,0.766,0.83,0.801,0.815,0.856,0.92,1.022,1.157,1.311,1.368,1.224,1.152,1.142,1.211,1.193,1.28
Argentina,112.721,126.563,95.593,114.949,117.854,138.044,88.567,153.205,205.515,247.987,256.365,279.15,280.08,295.12,317.549,324.242,307.673,308.491,291.738,108.731,138.151,164.922,199.273,232.892,287.92,363.545,334.633,424.728,527.644,579.666,611.471,563.614
Armenia,NA,NA,NA,NA,NA,NA,NA,2.257,2.069,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61
Australia,179.651,197.326,174.553,181.653,213.306,271.393,308.276,323.929,324.594,318.139,309.64,353.223,379.781,425.588,426.662,381.104,411.822,399.276,376.928,424.522,540.421,657.431,734.846,781.947,949.146,1057.113,997.159,1249.648,1504.225,1561.175,1509.705,1449.521
Austria,70.874,66.857,68.47,97.157,121.499,133.293,132.965,166.493,174.045,195.069,189.958,203.514,240.747,236.828,212.61,217.994,217.01,196.998,197.123,213.725,261.22,300.264,315.188,334.603,386.995,429.638,398.602,390.94,429.431,407.677,428.382,439.073
Azerbaijan,NA,NA,NA,NA,NA,NA,NA,8.858,8.792,1.193,1.309,2.258,2.417,3.177,3.963,4.28,4.581,5.273,5.475,6.232,7.276,8.682,13.273,21.027,33.09,46.378,44.289,52.913,64.819,68.7,73.557,75.194
